Table 115-01016 : Age specific fertility rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45 - 49,0.7,0.6,0.6,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.7,0.6,0.4,0.3,0.6
Overall,65.2,63.8,60.7,55.6,53.9,49.8,47.9,51.1,46.8,45.4,45.1,46.3,44.7,44.1,41.1,37.4,34.7,30.5,28.9,30.2,26.8,26.3,24.9,25.1,26.1,27.0,28.4,29.5,29.2,31.3,33.6,36.4,32.4,35.9,35.0,35.8,33.7,32.3,32.0,26.5,23.4,21.4,22.7
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Overall"" refers to the number of live births in a given year per 1 000 mid-year female population aged 15 - 49.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.A. Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demographic Statistics Section (1),Census and Statistics Department(Enquiry telephone no. : 3903 6943 Enquiry e-mail : population@censtatd.gov.hk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: 2 August, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
